,Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version,LATITUDE,LONGITUDE,COUNT
202,dpz884d,"POLYGON((-79.4503784179688 43.6953735351562, -79.4490051269531 43.6953735351562, -79.4490051269531 43.6967468261719, -79.4503784179688 43.6967468261719, -79.4503784179688 43.6953735351562))",43.695,-79.45,43.697,-79.449,POINT(-79.44993 43.69567),43.696,-79.45,Toronto,,Ontario,Canada,CA-ON,0.01,6,2022-02-02,5.1,43.696,-79.45,2
203,dpz884s,"POLYGON((-79.4476318359375 43.6953735351562, -79.4462585449219 43.6953735351562, -79.4462585449219 43.6967468261719, -79.4476318359375 43.6967468261719, -79.4476318359375 43.6953735351562))",43.695,-79.448,43.697,-79.446,POINT(-79.44694 43.69641),43.696,-79.447,Toronto,,Ontario,Canada,CA-ON,0.03,8,2022-02-02,5.1,43.696,-79.447,2
204,dpz865x,"POLYGON((-79.3556213378906 43.6569213867188, -79.354248046875 43.6569213867188, -79.354248046875 43.6582946777344, -79.3556213378906 43.6582946777344, -79.3556213378906 43.6569213867188))",43.657,-79.356,43.658,-79.354,POINT(-79.35546 43.65735),43.657,-79.355,Toronto,,Ontario,Canada,CA-ON,0.006,3,2022-02-02,5.1,43.657,-79.355,1
205,dpz83e8,"POLYGON((-79.38720703125 43.6569213867188, -79.3858337402344 43.6569213867188, -79.3858337402344 43.6582946777344, -79.38720703125 43.6582946777344, -79.38720703125 43.6569213867188))",43.657,-79.387,43.658,-79.386,POINT(-79.38623 43.6579),43.658,-79.386,Toronto,,Ontario,Canada,CA-ON,0.004,6,2022-02-02,5.1,43.658,-79.386,2
206,dpz83g9,"POLYGON((-79.3748474121094 43.6569213867188, -79.3734741210938 43.6569213867188, -79.3734741210938 43.6582946777344, -79.3748474121094 43.6582946777344, -79.3748474121094 43.6569213867188))",43.657,-79.375,43.658,-79.373,POINT(-79.37427 43.65727),43.657,-79.374,Toronto,,Ontario,Canada,CA-ON,0.01,12,2022-02-02,5.1,43.657,-79.374,4
207,dpz825s,"POLYGON((-79.4476318359375 43.6569213867188, -79.4462585449219 43.6569213867188, -79.4462585449219 43.6582946777344, -79.4476318359375 43.6582946777344, -79.4476318359375 43.6569213867188))",43.657,-79.448,43.658,-79.446,POINT(-79.44724 43.65747),43.657,-79.447,Toronto,,Ontario,Canada,CA-ON,0.023,8,2022-02-02,5.1,43.657,-79.447,2
208,dpz83es,"POLYGON((-79.3817138671875 43.6569213867188, -79.3803405761719 43.6569213867188, -79.3803405761719 43.6582946777344, -79.3817138671875 43.6582946777344, -79.3817138671875 43.6569213867188))",43.657,-79.382,43.658,-79.38,POINT(-79.38118 43.6573),43.657,-79.381,Toronto,,Ontario,Canada,CA-ON,0.009,6,2022-02-02,5.1,43.657,-79.381,3
209,dpz835w,"POLYGON((-79.4009399414062 43.6569213867188, -79.3995666503906 43.6569213867188, -79.3995666503906 43.6582946777344, -79.4009399414062 43.6582946777344, -79.4009399414062 43.6569213867188))",43.657,-79.401,43.658,-79.4,POINT(-79.40002 43.65785),43.658,-79.4,Toronto,,Ontario,Canada,CA-ON,0.013,15,2022-02-02,5.1,43.658,-79.4,1
210,dpz83e9,"POLYGON((-79.3858337402344 43.6569213867188, -79.3844604492188 43.6569213867188, -79.3844604492188 43.6582946777344, -79.3858337402344 43.6582946777344, -79.3858337402344 43.6569213867188))",43.657,-79.386,43.658,-79.384,POINT(-79.38469 43.65804),43.658,-79.385,Toronto,,Ontario,Canada,CA-ON,0.011,9,2022-02-02,5.1,43.658,-79.385,1
211,dpz835s,"POLYGON((-79.4036865234375 43.6569213867188, -79.4023132324219 43.6569213867188, -79.4023132324219 43.6582946777344, -79.4036865234375 43.6582946777344, -79.4036865234375 43.6569213867188))",43.657,-79.404,43.658,-79.402,POINT(-79.40307 43.65749),43.657,-79.403,Toronto,,Ontario,Canada,CA-ON,0.009,6,2022-02-02,5.1,43.657,-79.403,1
212,dpz8679,"POLYGON((-79.3528747558594 43.6569213867188, -79.3515014648438 43.6569213867188, -79.3515014648438 43.6582946777344, -79.3528747558594 43.6582946777344, -79.3528747558594 43.6569213867188))",43.657,-79.353,43.658,-79.351,POINT(-79.35266 43.65747),43.657,-79.353,Toronto,,Ontario,Canada,CA-ON,0.001,3,2022-02-02,5.1,43.657,-79.353,1
213,dpz2r5w,"POLYGON((-79.4888305664062 43.6569213867188, -79.4874572753906 43.6569213867188, -79.4874572753906 43.6582946777344, -79.4888305664062 43.6582946777344, -79.4888305664062 43.6569213867188))",43.657,-79.489,43.658,-79.487,POINT(-79.48799 43.65803),43.658,-79.488,Toronto,,Ontario,Canada,CA-ON,0.004,3,2022-02-02,5.1,43.658,-79.488,1
214,dpz837w,"POLYGON((-79.3899536132812 43.6569213867188, -79.3885803222656 43.6569213867188, -79.3885803222656 43.6582946777344, -79.3899536132812 43.6582946777344, -79.3899536132812 43.6569213867188))",43.657,-79.39,43.658,-79.389,POINT(-79.38943 43.65759),43.658,-79.389,Toronto,,Ontario,Canada,CA-ON,0.021,31,2022-02-02,5.1,43.658,-79.389,2
215,dpz8uhx,"POLYGON((-79.2677307128906 43.7503051757813, -79.266357421875 43.7503051757813, -79.266357421875 43.7516784667969, -79.2677307128906 43.7516784667969, -79.2677307128906 43.7503051757813))",43.75,-79.268,43.752,-79.266,POINT(-79.26733 43.75117),43.751,-79.267,Toronto,,Ontario,Canada,CA-ON,0.08,25,2022-02-02,5.1,43.751,-79.267,1
216,dpz2gus,"POLYGON((-79.6343994140625 43.7503051757813, -79.6330261230469 43.7503051757813, -79.6330261230469 43.7516784667969, -79.6343994140625 43.7516784667969, -79.6343994140625 43.7503051757813))",43.75,-79.634,43.752,-79.633,POINT(-79.63349 43.75126),43.751,-79.633,Toronto,,Ontario,Canada,CA-ON,0.123,150,2022-02-02,5.1,43.751,-79.633,1
217,dpz2gut,"POLYGON((-79.6330261230469 43.7503051757813, -79.6316528320312 43.7503051757813, -79.6316528320312 43.7516784667969, -79.6330261230469 43.7516784667969, -79.6330261230469 43.7503051757813))",43.75,-79.633,43.752,-79.632,POINT(-79.6327 43.75129),43.751,-79.633,Toronto,,Ontario,Canada,CA-ON,0.029,17,2022-02-02,5.1,43.751,-79.633,1
218,dpz2vuz,"POLYGON((-79.5423889160156 43.7516784667969, -79.541015625 43.7516784667969, -79.541015625 43.7530517578125, -79.5423889160156 43.7530517578125, -79.5423889160156 43.7516784667969))",43.752,-79.542,43.753,-79.541,POINT(-79.54211 43.75206),43.752,-79.542,Toronto,,Ontario,Canada,CA-ON,0.073,110,2022-02-02,5.1,43.752,-79.542,5
219,dpz8uhb,"POLYGON((-79.27734375 43.7516784667969, -79.2759704589844 43.7516784667969, -79.2759704589844 43.7530517578125, -79.27734375 43.7530517578125, -79.27734375 43.7516784667969))",43.752,-79.277,43.753,-79.276,POINT(-79.27632 43.75287),43.753,-79.276,Toronto,,Ontario,Canada,CA-ON,0.006,3,2022-02-02,5.1,43.753,-79.276,1
220,dpz8uj0,"POLYGON((-79.27734375 43.7530517578125, -79.2759704589844 43.7530517578125, -79.2759704589844 43.7544250488281, -79.27734375 43.7544250488281, -79.27734375 43.7530517578125))",43.753,-79.277,43.754,-79.276,POINT(-79.27633 43.75333),43.753,-79.276,Toronto,,Ontario,Canada,CA-ON,0.006,3,2022-02-02,5.1,43.753,-79.276,1
221,dpz2yhg,"POLYGON((-79.5368957519531 43.7516784667969, -79.5355224609375 43.7516784667969, -79.5355224609375 43.7530517578125, -79.5368957519531 43.7530517578125, -79.5368957519531 43.7516784667969))",43.752,-79.537,43.753,-79.536,POINT(-79.53585 43.75269),43.753,-79.536,Toronto,,Ontario,Canada,CA-ON,0.041,39,2022-02-02,5.1,43.753,-79.536,5
222,dpz8gsc,"POLYGON((-79.2979431152344 43.7516784667969, -79.2965698242188 43.7516784667969, -79.2965698242188 43.7530517578125, -79.2979431152344 43.7530517578125, -79.2979431152344 43.7516784667969))",43.752,-79.298,43.753,-79.297,POINT(-79.29728 43.75193),43.752,-79.297,Toronto,,Ontario,Canada,CA-ON,0.075,16,2022-02-02,5.1,43.752,-79.297,2
223,dpz2zhy,"POLYGON((-79.4888305664062 43.7516784667969, -79.4874572753906 43.7516784667969, -79.4874572753906 43.7530517578125, -79.4888305664062 43.7530517578125, -79.4888305664062 43.7516784667969))",43.752,-79.489,43.753,-79.487,POINT(-79.48834 43.75255),43.753,-79.488,Toronto,,Ontario,Canada,CA-ON,0.051,10,2022-02-02,5.1,43.753,-79.488,3
224,dpz83ec,"POLYGON((-79.3858337402344 43.6582946777344, -79.3844604492188 43.6582946777344, -79.3844604492188 43.65966796875, -79.3858337402344 43.65966796875, -79.3858337402344 43.6582946777344))",43.658,-79.386,43.66,-79.384,POINT(-79.38511 43.6589),43.659,-79.385,Toronto,,Ontario,Canada,CA-ON,0.013,10,2022-02-02,5.1,43.659,-79.385,1
225,dpz86gg,"POLYGON((-79.3281555175781 43.6582946777344, -79.3267822265625 43.6582946777344, -79.3267822265625 43.65966796875, -79.3281555175781 43.65966796875, -79.3281555175781 43.6582946777344))",43.658,-79.328,43.66,-79.327,POINT(-79.32784 43.65926),43.659,-79.328,Toronto,,Ontario,Canada,CA-ON,0.012,9,2022-02-02,5.1,43.659,-79.328,2
