Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
dpz3pgs,"POLYGON((-79.4586181640625 43.7887573242188, -79.4572448730469 43.7887573242188, -79.4572448730469 43.7901306152344, -79.4586181640625 43.7901306152344, -79.4586181640625 43.7887573242188))",43.789,-79.459,43.79,-79.457,POINT(-79.45773 43.78975),43.79,-79.458,Toronto,,Ontario,Canada,CA-ON,0.016,8,2022-02-02,5.1
dpz95en,"POLYGON((-79.2910766601563 43.7860107421875, -79.2897033691406 43.7860107421875, -79.2897033691406 43.7873840332031, -79.2910766601563 43.7873840332031, -79.2910766601563 43.7860107421875))",43.786,-79.291,43.787,-79.29,POINT(-79.28976 43.78668),43.787,-79.29,Toronto,,Ontario,Canada,CA-ON,0.079,26,2022-02-02,5.1
dpz95m6,"POLYGON((-79.3075561523438 43.7983703613281, -79.3061828613281 43.7983703613281, -79.3061828613281 43.7997436523438, -79.3075561523438 43.7997436523438, -79.3075561523438 43.7983703613281))",43.798,-79.308,43.8,-79.306,POINT(-79.30662 43.79905),43.799,-79.307,Toronto,,Ontario,Canada,CA-ON,0.006,3,2022-02-02,5.1
dpz83kt,"POLYGON((-79.3913269042969 43.6624145507812, -79.3899536132812 43.6624145507812, -79.3899536132812 43.6637878417969, -79.3913269042969 43.6637878417969, -79.3913269042969 43.6624145507812))",43.662,-79.391,43.664,-79.39,POINT(-79.39046 43.66365),43.664,-79.39,Toronto,,Ontario,Canada,CA-ON,0.006,4,2022-02-02,5.1
dpz95rw,"POLYGON((-79.3020629882812 43.8107299804688, -79.3006896972656 43.8107299804688, -79.3006896972656 43.8121032714844, -79.3020629882812 43.8121032714844, -79.3020629882812 43.8107299804688))",43.811,-79.302,43.812,-79.301,POINT(-79.30148 43.8114),43.811,-79.301,Toronto,,Ontario,Canada,CA-ON,0.032,12,2022-02-02,5.1
dpz905v,"POLYGON((-79.4462585449219 43.7901306152344, -79.4448852539062 43.7901306152344, -79.4448852539062 43.79150390625, -79.4462585449219 43.79150390625, -79.4462585449219 43.7901306152344))",43.79,-79.446,43.792,-79.445,POINT(-79.44555 43.79034),43.79,-79.446,Toronto,,Ontario,Canada,CA-ON,0.004,3,2022-02-02,5.1
dpz2n5t,"POLYGON((-79.5341491699219 43.6129760742188, -79.5327758789063 43.6129760742188, -79.5327758789063 43.6143493652344, -79.5341491699219 43.6143493652344, -79.5341491699219 43.6129760742188))",43.613,-79.534,43.614,-79.533,POINT(-79.5336 43.61414),43.614,-79.534,Toronto,,Ontario,Canada,CA-ON,0.008,3,2022-02-02,5.1
dpz83sn,"POLYGON((-79.3789672851562 43.65966796875, -79.3775939941406 43.65966796875, -79.3775939941406 43.6610412597656, -79.3789672851562 43.6610412597656, -79.3789672851562 43.65966796875))",43.66,-79.379,43.661,-79.378,POINT(-79.37835 43.65984),43.66,-79.378,Toronto,,Ontario,Canada,CA-ON,0.004,4,2022-02-02,5.1
dpz2n6r,"POLYGON((-79.5204162597656 43.6061096191406, -79.51904296875 43.6061096191406, -79.51904296875 43.6074829101562, -79.5204162597656 43.6074829101562, -79.5204162597656 43.6061096191406))",43.606,-79.52,43.607,-79.519,POINT(-79.52027 43.60701),43.607,-79.52,Toronto,,Ontario,Canada,CA-ON,0.018,5,2022-02-02,5.1
dpz9hzc,"POLYGON((-79.2430114746094 43.8121032714844, -79.2416381835938 43.8121032714844, -79.2416381835938 43.8134765625, -79.2430114746094 43.8134765625, -79.2430114746094 43.8121032714844))",43.812,-79.243,43.813,-79.242,POINT(-79.24257 43.81264),43.813,-79.243,Toronto,,Ontario,Canada,CA-ON,0.025,42,2022-02-02,5.1
