,LATITUDE,LONGITUDE,COUNT
181,43.626045,-79.48739,1
182,43.626231,-79.528804,1
183,43.626245,-79.52879,1
184,43.626292,-79.528835,1
185,43.626296,-79.479442,1
186,43.626326,-79.50262,1
187,43.626545,-79.50149,1
188,43.626677,-79.526668,1
189,43.627045,-79.54259,1
190,43.627345,-79.56239,2
191,43.627745,-79.48149,1
192,43.627845,-79.49589,1
193,43.628045,-79.55889,1
194,43.628176,-79.503345,1
195,43.628345,-79.50329,1
196,43.628398,-79.475986,1
197,43.628546,-79.478587,1
198,43.628745,-79.49169,1
199,43.628859,-79.503635,1
200,43.628871,-79.516948,1
201,43.628945,-79.55489,2
202,43.628977,-79.490321,1
203,43.628993,-79.55492,2
204,43.629045,-79.49039,1
205,43.629279,-79.553577,1
206,43.629561,-79.487575,1
207,43.629745,-79.47859,1
208,43.629958,-79.425548,1
209,43.629969,-79.425586,1
210,43.630045,-79.51739,1
211,43.630045,-79.42419,1
212,43.630068,-79.425716,1
213,43.630309,-79.484218,1
214,43.630345,-79.48429,1
215,43.630351,-79.419742,2
216,43.630366,-79.4267,1
217,43.630416,-79.419772,1
218,43.630445,-79.48349,1
219,43.630445,-79.41979,1
220,43.630515,-79.427158,1
221,43.630645,-79.42739,1
222,43.630845,-79.48209,1
223,43.630845,-79.48189,1
224,43.630858,-79.563861,1
225,43.631345,-79.57679,1
226,43.631358,-79.429141,1
227,43.631426,-79.552326,1
228,43.631445,-79.55229,2
229,43.631472,-79.531055,1
230,43.631645,-79.57599,1
231,43.631745,-79.43259,1
232,43.632022,-79.575145,1
233,43.632045,-79.43439,1
234,43.632106,-79.544688,1
235,43.632361,-79.476856,1
236,43.63238,-79.410854,1
237,43.632445,-79.43429,1
238,43.632445,-79.43279,1
239,43.632445,-79.41079,2
240,43.632643,-79.429286,1
241,43.632645,-79.53159,1
242,43.632731,-79.543445,1
243,43.632745,-79.43379,1
244,43.632872,-79.524761,1
245,43.632945,-79.47319,1
246,43.633063,-79.434955,1
247,43.633078,-79.435222,1
248,43.633245,-79.42779,1
249,43.633269,-79.43452,1
250,43.633326,-79.434558,1
251,43.633345,-79.43459,1
252,43.633349,-79.435138,1
253,43.633498,-79.472667,1
254,43.633544,-79.570766,1
255,43.633545,-79.57079,3
256,43.633645,-79.43659,1
257,43.63383,-79.437084,1
258,43.633887,-79.520046,1
259,43.633944,-79.43719,1
260,43.633945,-79.43739,1
261,43.633945,-79.43479,1
262,43.634032,-79.438045,1
263,43.634085,-79.425502,1
264,43.634145,-79.47169,1
265,43.634145,-79.43759,1
266,43.634345,-79.43769,1
267,43.634406,-79.408748,1
268,43.634425,-79.40874,1
269,43.634429,-79.408733,1
270,43.63444,-79.567218,1
271,43.634444,-79.43909,1
272,43.634445,-79.40869,2
273,43.634545,-79.43879,1
274,43.634645,-79.47159,1
275,43.634745,-79.50609,1
276,43.634745,-79.47199,1
277,43.634787,-79.470248,1
278,43.634945,-79.47299,1
279,43.634945,-79.43529,1
280,43.634945,-79.42139,1
281,43.6351,-79.561916,1
282,43.635145,-79.39779,1
283,43.635283,-79.563747,1
284,43.635345,-79.56369,1
285,43.635432,-79.441371,1
286,43.635445,-79.44079,1
287,43.635459,-79.473483,1
288,43.635545,-79.52659,1
289,43.635545,-79.51369,1
290,43.635577,-79.474414,1
291,43.635645,-79.56229,1
292,43.635945,-79.47299,1
293,43.635945,-79.40359,1
294,43.635951,-79.442912,1
295,43.636008,-79.468021,1
296,43.636045,-79.50669,1
297,43.636045,-79.40209,1
298,43.636045,-79.40189,1
299,43.636084,-79.567912,1
300,43.636096,-79.474475,1
301,43.636099,-79.540073,1
302,43.63613,-79.400409,1
303,43.636145,-79.54009,1
304,43.636145,-79.47449,1
305,43.636245,-79.40959,1
306,43.63634,-79.435703,1
307,43.636344,-79.466892,1
308,43.636345,-79.44239,1
309,43.636345,-79.40679,1
310,43.636378,-79.444034,1
311,43.636389,-79.472293,1
312,43.636405,-79.399623,1
313,43.636412,-79.399608,1
314,43.63642,-79.444095,1
315,43.636445,-79.44399,1
316,43.636445,-79.39959,2
317,43.636473,-79.399638,3
318,43.636545,-79.47509,1
319,43.636626,-79.441554,1
320,43.636645,-79.46359,1
321,43.636745,-79.47529,1
322,43.636943,-79.445483,1
