,Latitude,Longitude,IncidentsTotal,SeverityScore,LATITUDE,LONGITUDE,COUNT
137,43.68,-79.51,32,0.012000000000000002,43.68,-79.51,13
138,43.68,-79.5,37,0.0465,43.68,-79.5,4
139,43.68,-79.49,79,0.02125,43.68,-79.49,15
140,43.68,-79.48,131,0.027555555555555555,43.68,-79.48,20
141,43.68,-79.47,45,0.0106,43.68,-79.47,29
142,43.68,-79.46,3,0.005,43.68,-79.46,18
143,43.68,-79.44,176,0.06820000000000001,43.68,-79.44,20
144,43.68,-79.42,31,0.013666666666666666,43.68,-79.42,15
145,43.68,-79.41,54,0.011333333333333334,43.68,-79.41,13
146,43.68,-79.4,41,0.013500000000000002,43.68,-79.4,7
147,43.68,-79.39,66,0.011899999999999999,43.68,-79.39,18
148,43.68,-79.36,205,0.005636363636363636,43.68,-79.36,14
149,43.68,-79.35,4,0.009,43.68,-79.35,10
150,43.68,-79.34,7,0.025,43.68,-79.34,14
151,43.68,-79.33,3,0.004,43.68,-79.33,12
152,43.68,-79.31,32,0.01025,43.68,-79.31,20
153,43.68,-79.3,53,0.02325,43.68,-79.3,19
154,43.68,-79.29,22,0.098,43.68,-79.29,7
155,43.68,-79.28,9,0.008333333333333333,43.68,-79.28,13
156,43.68,-79.27,9,0.0075,43.68,-79.27,8
157,43.69,-79.59,79,0.010750000000000001,43.69,-79.59,1
158,43.69,-79.58,27,0.005750000000000001,43.69,-79.58,4
159,43.69,-79.57,424,0.021500000000000005,43.69,-79.57,15
160,43.69,-79.56,1241,0.007533333333333334,43.69,-79.56,3
161,43.69,-79.55,14,0.013,43.69,-79.55,9
162,43.69,-79.54,115,0.029200000000000004,43.69,-79.54,12
163,43.69,-79.53,3,0.006,43.69,-79.53,7
164,43.69,-79.52,4,0.009,43.69,-79.52,5
165,43.69,-79.51,68,0.196,43.69,-79.51,7
166,43.69,-79.5,41,0.022000000000000002,43.69,-79.5,13
167,43.69,-79.48,32,0.006200000000000001,43.69,-79.48,11
168,43.69,-79.47,102,0.015384615384615385,43.69,-79.47,14
169,43.69,-79.46,107,0.027000000000000003,43.69,-79.46,16
170,43.69,-79.45,33,0.010666666666666666,43.69,-79.45,13
171,43.69,-79.44,141,0.03271428571428571,43.69,-79.44,24
172,43.69,-79.43,145,0.017,43.69,-79.43,11
173,43.69,-79.42,14,0.0155,43.69,-79.42,10
174,43.69,-79.4,66,0.020666666666666667,43.69,-79.4,9
175,43.69,-79.39,9,0.010666666666666666,43.69,-79.39,13
176,43.69,-79.38,7,0.0055,43.69,-79.38,9
177,43.69,-79.37,9,0.008,43.69,-79.37,5
178,43.69,-79.36,3,0.001,43.69,-79.36,3
179,43.69,-79.35,77,0.00725,43.69,-79.35,9
180,43.69,-79.34,115,0.006899999999999999,43.69,-79.34,13
181,43.69,-79.33,69,0.015250000000000001,43.69,-79.33,6
182,43.69,-79.32,57,0.018666666666666668,43.69,-79.32,12
183,43.69,-79.31,3,0.004,43.69,-79.31,11
184,43.69,-79.29,11,0.011333333333333334,43.69,-79.29,10
185,43.69,-79.28,32,0.054333333333333324,43.69,-79.28,13
186,43.69,-79.27,82,0.07033333333333333,43.69,-79.27,7
187,43.69,-79.26,28,0.073,43.69,-79.26,6
188,43.7,-79.59,149,0.0675,43.7,-79.59,2
189,43.7,-79.58,25,0.0685,43.7,-79.58,1
190,43.7,-79.57,638,0.1355,43.7,-79.57,7
191,43.7,-79.56,486,0.022307692307692306,43.7,-79.56,8
192,43.7,-79.55,1799,0.008526315789473686,43.7,-79.55,5
193,43.7,-79.54,125,0.1215,43.7,-79.54,1
194,43.7,-79.53,74,0.032,43.7,-79.53,6
195,43.7,-79.52,7,0.018000000000000002,43.7,-79.52,5
196,43.7,-79.51,24,0.025,43.7,-79.51,11
197,43.7,-79.5,85,0.02528571428571429,43.7,-79.5,19
198,43.7,-79.49,113,0.015857142857142858,43.7,-79.49,11
199,43.7,-79.48,50,0.016000000000000004,43.7,-79.48,6
200,43.7,-79.47,134,0.0415,43.7,-79.47,12
201,43.7,-79.46,9,0.02033333333333333,43.7,-79.46,2
202,43.7,-79.45,192,0.03557142857142857,43.7,-79.45,10
203,43.7,-79.44,7,0.028,43.7,-79.44,6
204,43.7,-79.43,22,0.0078,43.7,-79.43,6
205,43.7,-79.42,89,0.024000000000000004,43.7,-79.42,23
206,43.7,-79.41,130,0.03942857142857143,43.7,-79.41,11
207,43.7,-79.4,68,0.012666666666666666,43.7,-79.4,14
208,43.7,-79.39,94,0.014461538461538461,43.7,-79.39,20
209,43.7,-79.38,16,0.0085,43.7,-79.38,9
210,43.7,-79.37,11,0.008666666666666666,43.7,-79.37,7
211,43.7,-79.36,33,0.021400000000000002,43.7,-79.36,7
212,43.7,-79.35,53,0.1304,43.7,-79.35,5
213,43.7,-79.34,9,0.005666666666666667,43.7,-79.34,8
214,43.7,-79.33,64,0.0032857142857142855,43.7,-79.33,12
215,43.7,-79.31,25,0.0064,43.7,-79.31,6
216,43.7,-79.29,53,0.043000000000000003,43.7,-79.29,10
