,IncidentsTotal,SeverityScore,PercentOfVehicles,AvgAcceleration,LATITUDE,LONGITUDE,COUNT,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,VEHTYPE,TIME
46,76.0,0.011,0.001,0.448,43.635,-79.44,1,30 to 34,Wet,Rain,"Dark, artificial",No Control,Speed too Fast For Condition,Normal,"Automobile, Station Wagon",17.0
47,19.0,0.004,0.006,0.653,43.636,-79.468,1,25 to 29,Dry,Clear,"Dark, artificial",No Control,Lost control,Inattentive,Motorcycle,235.0
48,18.0,0.018,0.018,0.518,43.636,-79.466,1,35 to 39,Dry,Clear,Dark,No Control,Exceeding Speed Limit,Had Been Drinking,Motorcycle,2327.0
49,6.0,0.001,0.017,0.381,43.636,-79.443,1,40 to 44,Dry,Clear,Daylight,No Control,Lost control,Unknown,"Automobile, Station Wagon",930.0
50,8.0,0.002,0.001,0.416,43.636,-79.442,1,25 to 29,Dry,Clear,Dark,No Control,Following too Close,Normal,"Automobile, Station Wagon",420.0
51,8.0,0.002,0.001,0.416,43.636,-79.442,1,45 to 49,Dry,Clear,Dark,No Control,Following too Close,Normal,"Automobile, Station Wagon",420.0
52,16.0,0.004,0.001,0.384,43.636,-79.441,1,30 to 34,Dry,Clear,Daylight,No Control,Lost control,Normal,Motorcycle,1250.0
53,3.0,0.006,0.069,0.523,43.636,-79.409,1,25 to 29,Loose Snow,Snow,Dark,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1801.0
54,3.0,0.005,0.047,0.432,43.637,-79.47,1,35 to 39,Dry,Clear,Dark,No Control,Disobeyed Traffic Control,Unknown,"Automobile, Station Wagon",430.0
55,22.0,0.015,0.03,0.461,43.637,-79.399,1,25 to 29,Dry,Clear,Dark,No Control,Improper Turn,Had Been Drinking,"Automobile, Station Wagon",2125.0
56,3.0,0.005,0.044,0.498,43.637,-79.397,2,40 to 44,Dry,Clear,Daylight,No Control,Improper Lane Change,Normal,"Automobile, Station Wagon",1629.5
57,3.0,0.005,0.044,0.498,43.637,-79.397,2,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1629.5
58,43.0,0.008,0.018,0.507,43.638,-79.4,1,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Exceeding Speed Limit,Inattentive,"Automobile, Station Wagon",35.0
59,43.0,0.008,0.018,0.507,43.638,-79.4,1,45 to 49,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",35.0
60,3.0,0.007,0.017,0.517,43.639,-79.547,1,unknown,Wet,Rain,Dark,Traffic Signal,Disobeyed Traffic Control,Unknown,"Automobile, Station Wagon",2010.0
61,106.0,0.01,0.016,0.561,43.639,-79.392,1,25 to 29,Wet,Clear,Daylight,No Control,Other,Inattentive,"Automobile, Station Wagon",1854.0
62,3.0,0.006,0.019,0.449,43.64,-79.411,2,40 to 44,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1730.5
63,3.0,0.006,0.019,0.449,43.64,-79.411,2,50 to 54,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",1730.5
64,43.0,0.016,0.018,0.426,43.641,-79.38,2,20 to 24,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1040.0
65,43.0,0.016,0.018,0.426,43.641,-79.38,2,35 to 39,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1040.0
66,32.0,0.044,0.059,0.701,43.642,-79.429,1,15 to 19,Dry,Clear,Dark,Streetcar (Stop for),Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",2344.0
67,3.0,0.005,0.033,0.516,43.642,-79.383,2,35 to 39,Dry,Clear,Daylight,No Control,Improper Passing,Normal,Motorcycle,1379.0
68,3.0,0.005,0.033,0.516,43.642,-79.383,2,40 to 44,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,"Truck - Closed (Blazer, etc)",1379.0
