,LATITUDE,LONGITUDE,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,VEHTYPE,TIME,AvgAcceleration,PercentCar,PercentHDT,PercentLDT,PercentMDT,PercentMPV,PercentOfVehicles,PercentOther,COUNT
81,43.615,-79.55,40 to 44,Dry,Clear,Daylight,No Control,Improper Passing,Normal,"Automobile, Station Wagon",829.0,0.546,0.02,0.326,0.24,0.133,0.134,0.005,0.147,1
82,43.615,-79.536,20 to 24,Dry,Clear,Dark,No Control,Other,Had Been Drinking,"Automobile, Station Wagon",314.0,0.358,0.001,0.088,0.488,0.027,0.336,0.127,0.059,1
83,43.615,-79.535,75 to 79,Wet,Rain,"Dark, artificial",No Control,Speed too Fast For Condition,Inattentive,"Automobile, Station Wagon",10.0,0.47,0.003,0.128,0.32,0.071,0.368,0.12,0.11,1
84,43.615,-79.524,20 to 24,Dry,Clear,Dark,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1796.0,0.537,0.014,0.243,0.37,0.092,0.146,0.047,0.135,2
85,43.615,-79.524,20 to 24,Dry,Clear,Daylight,Traffic Signal,Lost control,Unknown,Motorcycle,1796.0,0.537,0.014,0.243,0.37,0.092,0.146,0.047,0.135,2
86,43.615,-79.5,30 to 34,Dry,Clear,"Dawn, artificial",No Control,Speed too Fast For Condition,Inattentive,"Automobile, Station Wagon",710.0,0.482,0.021,0.295,0.201,0.01,0.218,0.02,0.255,1
87,43.616,-79.557,25 to 29,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1444.0,0.572,0.018,0.336,0.234,0.08,0.174,0.055,0.158,1
88,43.616,-79.546,25 to 29,Loose Snow,Snow,Daylight,Traffic Signal,Speed too Fast For Condition,Normal,"Automobile, Station Wagon",1305.0,0.591,0.008,0.254,0.236,0.16,0.163,0.034,0.18,1
89,43.616,-79.534,unknown,Dry,Clear,Dark,No Control,Following too Close,Unknown,"Automobile, Station Wagon",2110.0,0.555,0.013,0.201,0.374,0.048,0.274,0.051,0.09,1
90,43.616,-79.533,20 to 24,Dry,Clear,Dark,No Control,Improper Lane Change,Normal,"Automobile, Station Wagon",1662.5,0.41,0.012,0.252,0.289,0.072,0.202,0.052,0.172,2
91,43.616,-79.533,50 to 54,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Normal,Truck - Dump,1662.5,0.41,0.012,0.252,0.289,0.072,0.202,0.052,0.172,2
92,43.616,-79.531,25 to 29,Dry,Clear,"Dark, artificial",No Control,Wrong Way on One Way Road,"Ability Impaired, Alcohol","Automobile, Station Wagon",227.0,0.273,0.005,0.266,0.078,0.02,0.213,0.051,0.419,1
93,43.616,-79.498,45 to 49,Dry,Clear,Dusk,No Control,Failed to Yield Right of Way,Inattentive,Truck - Tank,1643.0,0.462,0.033,0.089,0.551,0.048,0.165,0.022,0.115,1
94,43.617,-79.529,25 to 29,Loose Snow,Snow,Dark,No Control,Lost control,Unknown,"Automobile, Station Wagon",245.0,0.294,0.111,0.22,0.357,0.058,0.144,0.004,0.11,1
95,43.617,-79.526,25 to 29,Dry,Clear,Daylight,No Control,Exceeding Speed Limit,Unknown,"Automobile, Station Wagon",1134.0,0.553,0.019,0.303,0.241,0.164,0.136,0.023,0.137,1
96,43.617,-79.524,20 to 24,Wet,Rain,Dark,No Control,Lost control,Had Been Drinking,"Automobile, Station Wagon",142.0,0.462,0.0,0.338,0.331,0.068,0.079,0.081,0.183,1
97,43.617,-79.498,70 to 74,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1264.75,0.513,0.02,0.318,0.347,0.026,0.236,0.077,0.053,4
98,43.617,-79.498,75 to 79,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1264.75,0.513,0.02,0.318,0.347,0.026,0.236,0.077,0.053,4
99,43.617,-79.498,80 to 84,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1264.75,0.513,0.02,0.318,0.347,0.026,0.236,0.077,0.053,4
100,43.617,-79.498,85 to 89,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1264.75,0.513,0.02,0.318,0.347,0.026,0.236,0.077,0.053,4
101,43.618,-79.564,20 to 24,Dry,Clear,Daylight,No Control,Lost control,Inattentive,"Automobile, Station Wagon",1800.0,0.745,0.0,0.173,0.037,0.01,0.019,0.014,0.76,1
102,43.618,-79.524,40 to 44,Dry,Clear,Daylight,No Control,Improper Lane Change,Normal,"Automobile, Station Wagon",350.0,0.372,0.022,0.238,0.345,0.085,0.18,0.001,0.131,3
103,43.618,-79.524,45 to 49,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Inattentive,"Automobile, Station Wagon",350.0,0.372,0.022,0.238,0.345,0.085,0.18,0.001,0.131,3
104,43.618,-79.522,25 to 29,Wet,Rain,Daylight,No Control,Lost control,Normal,"Automobile, Station Wagon",915.0,0.537,0.012,0.173,0.272,0.035,0.422,0.048,0.086,1
105,43.618,-79.522,unknown,Wet,Rain,Daylight,No Control,Improper Lane Change,Unknown,"Automobile, Station Wagon",915.0,0.537,0.012,0.173,0.272,0.035,0.422,0.048,0.086,1
106,43.618,-79.52,30 to 34,Dry,Clear,Dark,No Control,Lost control,Inattentive,"Automobile, Station Wagon",1416.0,0.152,0.006,0.152,0.238,0.376,0.084,0.016,0.143,2
107,43.618,-79.52,45 to 49,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Unknown,Delivery Van,1416.0,0.152,0.006,0.152,0.238,0.376,0.084,0.016,0.143,2
108,43.618,-79.511,30 to 34,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Unknown,"Automobile, Station Wagon",1868.6666666666667,0.316,0.028,0.319,0.341,0.06,0.128,0.018,0.124,3
109,43.618,-79.511,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",1868.6666666666667,0.316,0.028,0.319,0.341,0.06,0.128,0.018,0.124,3
110,43.618,-79.511,70 to 74,Wet,Rain,Daylight,Traffic Signal,Lost control,Medical or Physical Disability,"Automobile, Station Wagon",1868.6666666666667,0.316,0.028,0.319,0.341,0.06,0.128,0.018,0.124,3
111,43.618,-79.506,25 to 29,Dry,Clear,"Dark, artificial",No Control,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",2040.0,0.084,0.0,0.24,0.202,0.087,0.425,0.011,0.045,1
112,43.618,-79.486,20 to 24,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",1007.5,0.388,0.0,0.029,0.531,0.169,0.218,0.049,0.053,2
