,LATITUDE,LONGITUDE,PEDTYPE,PEDACT,PEDCOND,TRAFFCTL,LIGHT,VISIBILITY,RDSFCOND,TIME
214,43.645,-79.364,Pedestrian hit at mid-block,Other,Other,No Control,Daylight,Clear,Dry,1830.0
215,43.645,-79.352,Vehicle is going straight thru inter.while ped cross with ROW,"Crossing, no Traffic Control",Normal,Stop Sign,Dark,Clear,Dry,2018.0
216,43.646,-79.559,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,"Dark, artificial",Clear,Dry,1771.6666666666667
217,43.646,-79.53,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Unknown,Traffic Signal,Daylight,Clear,Dry,1730.0
218,43.646,-79.513,Vehicle turns left while ped crosses without ROW at inter.,"Crossing, no Traffic Control",Inattentive,Stop Sign,Daylight,Rain,Wet,1532.0
219,43.646,-79.507,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,No Control,Daylight,Clear,Dry,1520.0
220,43.646,-79.449,Other / Undefined,Person Getting on/off Vehicle,Normal,No Control,Daylight,Clear,Dry,1368.0
221,43.646,-79.449,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Dark,Clear,Dry,1368.0
222,43.646,-79.449,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Rain,Wet,1368.0
223,43.646,-79.43,Vehicle is going straight thru inter.while ped cross without ROW,Running onto Roadway,Inattentive,No Control,Daylight,Clear,Dry,830.0
224,43.646,-79.409,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Had Been Drinking,No Control,Dark,Snow,Wet,114.0
225,43.646,-79.406,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Clear,Dry,1336.0
226,43.646,-79.403,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Clear,Dry,1650.0
