,IncidentsTotal,SeverityScore,LATITUDE,LONGITUDE,COUNT
278,9,0.024,43.697,-79.546,6
279,21,0.025,43.697,-79.502,2
280,4,0.007,43.697,-79.451,1
281,3,0.004,43.698,-79.439,2
282,32,0.048,43.698,-79.406,2
283,3,0.011,43.698,-79.372,1
284,3,0.001,43.698,-79.349,3
285,7,0.009,43.699,-79.587,1
286,3,0.006,43.699,-79.534,2
287,3,0.005,43.699,-79.476,1
288,29,0.006,43.699,-79.338,1
289,4,0.008,43.7,-79.516,7
290,7,0.013,43.7,-79.431,1
291,4,0.007,43.7,-79.387,1
292,11,0.005,43.7,-79.337,4
293,9,0.006,43.7,-79.319,3
294,3,0.016,43.701,-79.52,1
295,5,0.02,43.701,-79.503,1
296,7,0.003,43.701,-79.336,1
297,3,0.014,43.702,-79.503,5
298,6,0.02,43.702,-79.359,1
299,138,0.142,43.703,-79.452,3
300,13,0.02,43.703,-79.36,1
301,9,0.016,43.704,-79.55,1
302,9,0.018,43.704,-79.504,3
303,12,0.051,43.704,-79.41,3
304,8,0.014,43.705,-79.492,1
305,9,0.0095,43.706,-79.532,1
306,9,0.088,43.706,-79.477,1
307,3,0.003,43.706,-79.409,1
308,7,0.013,43.706,-79.4,3
309,28,0.021,43.707,-79.578,2
310,16,0.019,43.707,-79.533,1
311,3,0.008,43.707,-79.427,3
312,7,0.006,43.707,-79.398,2
313,8,0.015,43.707,-79.396,2
314,3,0.005,43.707,-79.395,1
315,3,0.006,43.707,-79.345,1
316,3,0.011,43.708,-79.591,1
317,3,0.005,43.708,-79.551,1
318,11,0.014,43.708,-79.478,7
319,6,0.011,43.708,-79.453,1
320,6,0.02,43.708,-79.398,3
321,23,0.031,43.708,-79.39,2
322,3,0.008,43.708,-79.376,3
323,10,0.018,43.709,-79.565,1
324,3,0.007,43.709,-79.466,1
325,10,0.013,43.709,-79.41,1
326,20,0.024,43.709,-79.296,1
327,30,0.064,43.71,-79.579,1
328,29,0.061,43.71,-79.466,1
329,13,0.011,43.71,-79.334,2
330,5,0.017,43.711,-79.58,1
331,26,0.023,43.711,-79.535,2
332,94,0.0305,43.711,-79.467,1
333,11,0.016,43.711,-79.411,2
334,3,0.008,43.711,-79.399,2
