,LATITUDE,LONGITUDE,COUNT
385,43.643,-79.437,1
386,43.643,-79.433,1
387,43.643,-79.424,1
388,43.643,-79.421,2
389,43.643,-79.405,1
390,43.643,-79.404,1
391,43.643,-79.403,2
392,43.643,-79.402,1
393,43.643,-79.391,4
394,43.643,-79.389,1
395,43.643,-79.388,1
396,43.643,-79.384,1
397,43.643,-79.378,1
398,43.643,-79.377,1
399,43.643,-79.368,1
400,43.644,-79.567,4
401,43.644,-79.524,1
402,43.644,-79.523,2
403,43.644,-79.458,1
404,43.644,-79.456,1
405,43.644,-79.429,1
406,43.644,-79.416,2
407,43.644,-79.415,1
408,43.644,-79.406,1
409,43.644,-79.402,1
410,43.644,-79.401,1
411,43.644,-79.4,2
412,43.644,-79.397,2
413,43.644,-79.394,1
414,43.644,-79.391,1
415,43.644,-79.384,1
416,43.644,-79.382,1
417,43.644,-79.378,1
418,43.644,-79.375,6
419,43.644,-79.374,1
420,43.645,-79.561,1
421,43.645,-79.531,1
422,43.645,-79.523,2
423,43.645,-79.518,1
424,43.645,-79.51,1
425,43.645,-79.448,1
426,43.645,-79.438,1
427,43.645,-79.413,1
428,43.645,-79.412,1
429,43.645,-79.41,1
430,43.645,-79.409,3
431,43.645,-79.406,3
432,43.645,-79.403,3
433,43.645,-79.4,1
434,43.645,-79.399,1
435,43.645,-79.396,1
436,43.645,-79.394,2
437,43.645,-79.392,1
438,43.645,-79.39,1
439,43.645,-79.389,1
440,43.645,-79.386,1
441,43.645,-79.383,1
442,43.645,-79.379,1
443,43.645,-79.378,2
444,43.645,-79.371,1
445,43.645,-79.37,1
446,43.645,-79.369,7
447,43.645,-79.368,1
448,43.645,-79.365,1
449,43.645,-79.364,1
450,43.645,-79.363,1
451,43.645,-79.352,1
452,43.646,-79.559,2
453,43.646,-79.53,1
454,43.646,-79.513,1
455,43.646,-79.507,1
456,43.646,-79.449,3
457,43.646,-79.43,1
458,43.646,-79.423,1
459,43.646,-79.417,1
460,43.646,-79.416,1
461,43.646,-79.409,1
462,43.646,-79.406,1
463,43.646,-79.403,4
464,43.646,-79.401,1
465,43.646,-79.398,1
466,43.646,-79.395,1
467,43.646,-79.392,1
468,43.646,-79.391,2
469,43.646,-79.389,2
470,43.646,-79.385,1
471,43.646,-79.384,3
472,43.646,-79.383,1
473,43.646,-79.382,3
474,43.646,-79.377,1
475,43.646,-79.376,4
476,43.646,-79.374,1
477,43.646,-79.37,1
