,LATITUDE,LONGITUDE,COUNT
358,43.655,-79.385,1
359,43.655,-79.383,2
360,43.655,-79.379,2
361,43.655,-79.374,1
362,43.655,-79.365,1
363,43.655,-79.362,1
364,43.655,-79.357,1
365,43.656,-79.565,1
366,43.656,-79.452,8
367,43.656,-79.423,1
368,43.656,-79.409,1
369,43.656,-79.408,1
370,43.656,-79.407,3
371,43.656,-79.405,1
372,43.656,-79.402,1
373,43.656,-79.399,2
374,43.656,-79.394,1
375,43.656,-79.39,2
376,43.656,-79.382,2
377,43.656,-79.381,2
378,43.656,-79.38,1
379,43.656,-79.378,1
380,43.656,-79.377,1
381,43.656,-79.375,1
382,43.656,-79.374,2
383,43.656,-79.364,1
384,43.656,-79.362,1
385,43.656,-79.361,1
386,43.657,-79.542,1
387,43.657,-79.479,1
388,43.657,-79.447,1
389,43.657,-79.445,1
390,43.657,-79.422,1
391,43.657,-79.408,1
392,43.657,-79.404,1
393,43.657,-79.403,1
394,43.657,-79.4,1
395,43.657,-79.399,1
396,43.657,-79.389,1
397,43.657,-79.388,1
398,43.657,-79.381,2
399,43.657,-79.374,3
400,43.657,-79.373,2
401,43.657,-79.37,1
402,43.657,-79.342,1
403,43.657,-79.341,1
404,43.658,-79.461,1
405,43.658,-79.453,2
406,43.658,-79.452,1
407,43.658,-79.443,1
408,43.658,-79.442,2
409,43.658,-79.44,1
410,43.658,-79.4,1
411,43.658,-79.399,1
412,43.658,-79.398,1
413,43.658,-79.389,2
414,43.658,-79.386,1
415,43.658,-79.385,1
416,43.658,-79.384,1
417,43.658,-79.377,2
418,43.658,-79.375,1
419,43.658,-79.372,2
420,43.658,-79.37,7
421,43.658,-79.359,1
422,43.658,-79.352,3
423,43.658,-79.351,1
424,43.658,-79.349,3
425,43.658,-79.338,1
426,43.659,-79.513,1
427,43.659,-79.51,1
428,43.659,-79.442,1
429,43.659,-79.438,1
430,43.659,-79.435,1
431,43.659,-79.421,1
432,43.659,-79.409,1
433,43.659,-79.393,1
434,43.659,-79.39,3
435,43.659,-79.385,1
436,43.659,-79.382,2
437,43.659,-79.375,1
438,43.659,-79.366,1
439,43.659,-79.365,1
440,43.659,-79.364,1
441,43.659,-79.357,1
442,43.659,-79.349,1
443,43.659,-79.348,1
444,43.659,-79.347,1
445,43.659,-79.346,1
446,43.659,-79.345,1
447,43.659,-79.328,1
448,43.66,-79.51,1
449,43.66,-79.479,1
450,43.66,-79.443,1
451,43.66,-79.432,2
452,43.66,-79.43,1
453,43.66,-79.397,1
454,43.66,-79.387,1
455,43.66,-79.385,2
456,43.66,-79.382,2
457,43.66,-79.375,1
458,43.66,-79.374,1
459,43.66,-79.37,1
460,43.66,-79.361,1
461,43.66,-79.344,1
462,43.661,-79.543,1
463,43.661,-79.517,2
464,43.661,-79.489,1
465,43.661,-79.462,1
466,43.661,-79.429,1
467,43.661,-79.426,1
468,43.661,-79.425,1
469,43.661,-79.41,1
470,43.661,-79.409,2
471,43.661,-79.383,2
472,43.661,-79.366,3
473,43.661,-79.358,1
474,43.661,-79.34,1
475,43.662,-79.531,1
476,43.662,-79.469,1
477,43.662,-79.455,1
478,43.662,-79.444,1
479,43.662,-79.429,2
480,43.662,-79.425,2
481,43.662,-79.423,1
482,43.662,-79.41,1
483,43.662,-79.386,1
484,43.662,-79.377,2
485,43.662,-79.376,2
486,43.662,-79.374,1
487,43.662,-79.372,1
488,43.662,-79.363,1
489,43.662,-79.351,1
490,43.662,-79.349,1
491,43.662,-79.334,1
492,43.662,-79.332,4
493,43.663,-79.585,1
494,43.663,-79.49,1
495,43.663,-79.467,1
496,43.663,-79.463,1
497,43.663,-79.45,1
498,43.663,-79.426,1
499,43.663,-79.418,2
500,43.663,-79.417,1
501,43.663,-79.41,2
502,43.663,-79.402,2
503,43.663,-79.384,3
504,43.663,-79.383,1
505,43.663,-79.373,1
506,43.663,-79.372,1
507,43.663,-79.369,1
508,43.663,-79.367,1
509,43.663,-79.351,1
510,43.663,-79.341,1
511,43.663,-79.339,1
512,43.663,-79.33,2
513,43.663,-79.328,1
514,43.663,-79.307,1
515,43.664,-79.573,1
516,43.664,-79.464,1
517,43.664,-79.437,1
518,43.664,-79.416,1
519,43.664,-79.414,1
520,43.664,-79.387,2
521,43.664,-79.384,1
522,43.664,-79.368,2
523,43.664,-79.367,2
524,43.664,-79.355,6
525,43.664,-79.342,1
526,43.664,-79.306,1
527,43.665,-79.499,1
528,43.665,-79.498,1
529,43.665,-79.491,3
530,43.665,-79.485,1
531,43.665,-79.482,1
532,43.665,-79.476,1
533,43.665,-79.47,1
534,43.665,-79.468,1
535,43.665,-79.464,1
536,43.665,-79.454,1
537,43.665,-79.416,1
538,43.665,-79.411,2
539,43.665,-79.409,1
540,43.665,-79.403,1
541,43.665,-79.38,2
542,43.665,-79.378,1
543,43.665,-79.377,1
544,43.665,-79.353,1
545,43.665,-79.352,3
546,43.666,-79.587,1
547,43.666,-79.532,1
548,43.666,-79.499,1
549,43.666,-79.458,1
550,43.666,-79.446,1
551,43.666,-79.438,1
552,43.666,-79.403,2
553,43.666,-79.393,1
554,43.666,-79.378,3
555,43.666,-79.348,1
556,43.666,-79.316,1
557,43.666,-79.314,1
558,43.667,-79.491,1
559,43.667,-79.49,1
560,43.667,-79.428,1
561,43.667,-79.404,1
562,43.667,-79.398,1
